RF,ERS_section,Use_case,Requirement,API_evidence,UI_evidence,Automated_evidence,Status,Observation
RF01,3.2.1,CU001,Gestionar usuarios,/api/administration/users/,maintainers: Usuarios,backend/administration/tests.py; frontend/projects/maintainers/src/app/app.spec.ts,CUMPLE,Usuarios administrables por empresa desde la segunda aplicación.
RF02,3.2.2,CU002,Gestionar roles y perfiles de acceso,/api/administration/roles/,maintainers: Roles y permisos,backend/administration/tests.py; frontend/projects/maintainers/src/app/app.spec.ts,CUMPLE,Roles/permisos expuestos en maintainers y autorizados por backend.
RF03,3.2.3,CU003,Gestionar empresas o tiendas,/api/administration/companies/,maintainers: Empresa y sucursales,backend/administration/tests.py; frontend/projects/maintainers/src/app/app.spec.ts,CUMPLE,Empresa creada/actualizada mediante el backend compartido.
RF04,3.2.4,CU004,Gestionar sucursales,/api/administration/branches/,maintainers: Empresa y sucursales,backend/administration/tests.py; frontend/projects/maintainers/src/app/app.spec.ts,CUMPLE,Sucursales administrables en alcance de empresa.
RF05,3.2.5,CU005,Gestionar categorías de productos,/api/catalog/categories/; /api/catalog/categories/manage/; /api/catalog/categories/<id>/,/app/categories; maintainers: Catálogo,backend/catalog/test_qa_corrections.py; frontend/src/app/pages/categories/categories.spec.ts; frontend/projects/maintainers/src/app/api.service.spec.ts,CUMPLE,"ACTIVE/INACTIVE, listado de administración y PATCH con evidencia en ambos frontends."
RF06,3.2.6,CU006,Gestionar productos,/api/catalog/products/; /api/catalog/products/<id>/,/app/products; maintainers: Catálogo,backend/catalog/tests.py; frontend/src/app/pages/products/products.spec.ts; frontend/projects/maintainers/src/app/app.spec.ts,CUMPLE,Actualización y baja lógica expuestas en principal y secundaria.
RF07,3.2.7,CU007,Gestionar proveedores,/api/catalog/suppliers/; /api/catalog/suppliers/<id>/,/app/suppliers; maintainers: Proveedores,backend/catalog/tests.py; frontend/src/app/pages/suppliers/suppliers.spec.ts; frontend/projects/maintainers/src/app/app.spec.ts,CUMPLE,Proveedor administrable desde la secundaria y cubierto en principal.
RF08,3.2.8,CU008,Gestionar bodegas,/api/organizations/warehouses/; /api/organizations/warehouses/<id>/,/app/warehouses; maintainers: Bodegas,backend/organizations/tests.py; frontend/src/app/pages/warehouses/warehouses.spec.ts; frontend/projects/maintainers/src/app/app.spec.ts,CUMPLE,Bodegas conectadas al mismo contexto organizacional.
RF09,3.2.9,CU009,Gestionar métodos de pago,/api/administration/payment-methods/,maintainers: Pagos y estados,backend/administration/tests.py; frontend/projects/maintainers/src/app/app.spec.ts,CUMPLE,Métodos de pago no secretos administrables en la secundaria.
RF10,3.2.10,CU010,Gestionar estados de pedidos,/api/administration/order-statuses/<id>/,maintainers: Pagos y estados,backend/administration/tests.py; frontend/projects/maintainers/src/app/app.spec.ts,CUMPLE,Estados configurables disponibles; is_system permanece protegido.
